,Bangkok,Bangkok,Bangkok,Bangkok
,Temp,WindDir,Wind Speed,PM2.5
Datetime,,,,
2016-03-03 07:00:00,26.4,65,15,62.9
2016-03-03 10:00:00,31.4,75,13,52.96666666666667
2016-03-03 13:00:00,34.1,70,12,35.26666666666667
2016-03-03 16:00:00,34.6,60,12,33.05
2016-03-03 19:00:00,29.1,70,11,42.06666666666667
2016-03-03 22:00:00,27.3,70,15,45.36666666666667
2016-03-04 01:00:00,26.5,95,13,41.8
2016-03-04 04:00:00,25.8,115,11,43.133333333333326
2016-03-04 07:00:00,26.1,95,12,35.26666666666667
2016-03-04 10:00:00,30.7,105,13,29.23333333333333
2016-03-04 13:00:00,32.9,115,10,30.03333333333333
2016-03-04 16:00:00,33.2,90,7,29.33333333333333
2016-03-04 19:00:00,28.3,75,13,33.3
2016-03-04 22:00:00,27.6,90,14,33.3
2016-03-05 01:00:00,26.9,110,13,33.3
2016-03-05 04:00:00,26.3,130,10,33.3
2016-03-05 07:00:00,26.6,145,17,33.3
2016-03-05 10:00:00,31.4,140,16,33.3
2016-03-05 13:00:00,32.7,130,16,33.3
2016-03-05 16:00:00,32.7,125,13,29.03333333333333
2016-03-05 19:00:00,28.5,120,16,25.5
2016-03-05 22:00:00,27.9,130,14,26.133333333333336
2016-03-06 01:00:00,27.2,110,7,24.366666666666664
2016-03-06 04:00:00,26.6,110,7,36.66666666666666
2016-03-06 07:00:00,26.9,125,10,36.3
2016-03-06 10:00:00,31.7,120,11,28.4
2016-03-06 13:00:00,33.3,130,16,27.566666666666663
2016-03-06 16:00:00,33.1,140,12,28.03333333333333
2016-03-06 19:00:00,29.2,155,16,28.899999999999995
2016-03-06 22:00:00,28.2,155,13,29.63333333333333
2016-03-07 01:00:00,27.4,170,12,27.23333333333333
2016-03-07 04:00:00,26.8,175,13,34.733333333333334
2016-03-07 07:00:00,27.2,190,15,34.73333333333333
2016-03-07 10:00:00,32.0,180,13,28.4
2016-03-07 13:00:00,33.9,175,9,25.9
2016-03-07 16:00:00,33.9,185,8,26.933333333333334
2016-03-07 19:00:00,28.7,205,6,29.23333333333333
2016-03-07 22:00:00,28.0,225,6,28.0
2016-03-08 01:00:00,27.7,210,13,28.633333333333336
2016-03-08 04:00:00,27.2,220,19,34.06666666666667
2016-03-08 07:00:00,27.5,225,19,27.933333333333337
2016-03-08 10:00:00,32.2,240,16,24.6
2016-03-08 13:00:00,33.8,275,12,24.133333333333336
2016-03-08 16:00:00,34.6,285,10,24.5
2016-03-08 19:00:00,29.2,290,15,31.5
2016-03-08 22:00:00,28.3,295,13,25.73333333333333
