,Chanthaburi,Chanthaburi,Chanthaburi,Chanthaburi
,Temp,WindDir,Wind Speed,PM2.5
Datetime,,,,
2016-03-03 07:00:00,25.4,70,20,44.2
2016-03-03 10:00:00,30.9,75,16,40.9
2016-03-03 13:00:00,33.4,65,11,32.4
2016-03-03 16:00:00,31.7,55,10,37.8
2016-03-03 19:00:00,27.2,65,17,47.2
2016-03-03 22:00:00,25.6,70,18,35.4
2016-03-04 01:00:00,24.7,65,22,30.53333333333333
2016-03-04 04:00:00,24.0,85,24,32.300000000000004
2016-03-04 07:00:00,25.6,90,23,32.63333333333333
2016-03-04 10:00:00,30.3,100,16,30.666666666666668
2016-03-04 13:00:00,31.3,100,8,28.33333333333333
2016-03-04 16:00:00,30.7,65,6,28.866666666666664
2016-03-04 19:00:00,27.2,50,17,34.6
2016-03-04 22:00:00,26.1,70,23,34.13333333333333
2016-03-05 01:00:00,25.3,85,23,33.93333333333334
2016-03-05 04:00:00,24.9,90,21,34.03333333333334
2016-03-05 07:00:00,26.0,120,18,34.13333333333333
2016-03-05 10:00:00,30.1,110,17,34.03333333333333
2016-03-05 13:00:00,31.6,105,12,33.9
2016-03-05 16:00:00,30.7,75,10,33.849999999999994
2016-03-05 19:00:00,27.5,65,20,29.53333333333333
2016-03-05 22:00:00,26.5,85,24,26.133333333333336
2016-03-06 01:00:00,26.1,85,23,25.866666666666664
2016-03-06 04:00:00,25.5,95,22,32.2
2016-03-06 07:00:00,26.4,105,16,29.266666666666666
2016-03-06 10:00:00,30.2,100,21,30.399999999999995
2016-03-06 13:00:00,31.8,110,16,24.433333333333334
2016-03-06 16:00:00,31.0,90,12,26.46666666666667
2016-03-06 19:00:00,27.8,55,18,30.33333333333333
2016-03-06 22:00:00,27.0,65,22,27.96666666666667
2016-03-07 01:00:00,26.2,75,18,27.866666666666664
2016-03-07 04:00:00,25.4,90,15,31.366666666666664
2016-03-07 07:00:00,26.5,105,10,30.100000000000005
2016-03-07 10:00:00,30.4,90,14,26.13333333333333
2016-03-07 13:00:00,32.4,90,10,19.866666666666667
2016-03-07 16:00:00,31.1,75,9,25.866666666666664
2016-03-07 19:00:00,27.4,65,15,26.866666666666664
2016-03-07 22:00:00,26.7,85,17,25.399999999999995
2016-03-08 01:00:00,26.6,120,13,28.73333333333333
2016-03-08 04:00:00,26.3,140,9,31.3
2016-03-08 07:00:00,27.4,145,7,30.633333333333336
2016-03-08 10:00:00,29.7,125,6,27.4
2016-03-08 13:00:00,32.0,85,3,22.133333333333336
2016-03-08 16:00:00,31.3,115,2,26.8
