,Kanchanaburi,Kanchanaburi,Kanchanaburi,Kanchanaburi
,Temp,WindDir,Wind Speed,PM2.5
Datetime,,,,
2016-03-03 07:00:00,24.7,70,18,65.2
2016-03-03 10:00:00,31.1,80,17,56.06666666666667
2016-03-03 13:00:00,35.1,80,13,33.8
2016-03-03 16:00:00,36.7,85,10,48.05
2016-03-03 19:00:00,31.8,100,13,74.16666666666666
2016-03-03 22:00:00,28.8,95,12,48.06666666666666
2016-03-04 01:00:00,27.1,115,13,38.8
2016-03-04 04:00:00,25.2,130,11,41.66666666666666
2016-03-04 07:00:00,25.7,115,9,38.53333333333334
2016-03-04 10:00:00,31.9,115,8,31.9
2016-03-04 13:00:00,35.7,140,7,30.8
2016-03-04 16:00:00,37.0,155,5,29.1
2016-03-04 19:00:00,31.3,335,4,37.4
2016-03-04 22:00:00,28.6,85,4,37.266666666666666
2016-03-05 01:00:00,27.3,115,11,37.2
2016-03-05 04:00:00,25.8,135,11,37.16666666666667
2016-03-05 07:00:00,26.1,155,14,37.2
2016-03-05 10:00:00,32.0,155,16,37.2
2016-03-05 13:00:00,35.9,145,14,37.16666666666667
2016-03-05 16:00:00,37.2,145,12,32.833333333333336
2016-03-05 19:00:00,31.1,125,2,30.9
2016-03-05 22:00:00,28.3,125,11,28.1
2016-03-06 01:00:00,27.4,130,9,29.433333333333334
2016-03-06 04:00:00,26.1,165,13,32.300000000000004
2016-03-06 07:00:00,26.6,165,19,32.76666666666667
2016-03-06 10:00:00,32.3,155,16,29.066666666666663
2016-03-06 13:00:00,36.3,155,15,27.3
2016-03-06 16:00:00,37.5,155,14,27.96666666666667
2016-03-06 19:00:00,32.5,190,9,31.966666666666665
2016-03-06 22:00:00,29.3,195,6,31.83333333333333
2016-03-07 01:00:00,28.5,190,6,32.166666666666664
2016-03-07 04:00:00,27.2,180,9,33.56666666666667
2016-03-07 07:00:00,26.9,190,12,34.13333333333333
2016-03-07 10:00:00,33.1,180,11,28.5
2016-03-07 13:00:00,37.0,190,10,24.33333333333333
2016-03-07 16:00:00,38.9,180,10,23.5
2016-03-07 19:00:00,31.9,245,13,29.2
2016-03-07 22:00:00,29.8,210,16,30.46666666666667
2016-03-08 01:00:00,28.8,230,16,30.266666666666666
2016-03-08 04:00:00,27.4,250,16,32.0
2016-03-08 07:00:00,26.8,260,13,32.766666666666666
2016-03-08 10:00:00,33.4,265,10,26.53333333333333
2016-03-08 13:00:00,37.6,290,11,22.96666666666667
2016-03-08 16:00:00,39.7,280,9,24.666666666666668
2016-03-08 19:00:00,33.2,270,20,33.1
