,Khon Kaen,Khon Kaen,Khon Kaen,Khon Kaen
,Temp,WindDir,Wind Speed,PM2.5
Datetime,,,,
2016-03-03 07:00:00,20.9,75,8,35.8
2016-03-03 10:00:00,27.0,85,8,35.95
2016-03-03 13:00:00,31.2,90,10,43.163333333333334
2016-03-03 16:00:00,33.0,80,6,48.7
2016-03-03 19:00:00,28.1,125,8,60.06666666666666
2016-03-03 22:00:00,26.7,130,8,35.300000000000004
2016-03-04 01:00:00,25.8,150,10,31.76666666666667
2016-03-04 04:00:00,23.1,190,11,45.73333333333333
2016-03-04 07:00:00,22.6,195,12,65.89999999999999
2016-03-04 10:00:00,29.5,215,12,49.56666666666666
2016-03-04 13:00:00,33.4,195,8,48.43333333333334
2016-03-04 16:00:00,34.9,215,6,53.13333333333333
2016-03-04 19:00:00,30.6,185,8,74.56666666666666
2016-03-04 22:00:00,29.6,185,15,74.3
2016-03-05 01:00:00,28.1,195,14,74.2
2016-03-05 04:00:00,26.3,175,16,74.3
2016-03-05 07:00:00,26.7,170,28,74.36666666666667
2016-03-05 10:00:00,32.9,180,23,74.3
2016-03-05 13:00:00,35.1,205,13,74.2
2016-03-05 16:00:00,36.0,215,10,73.75
2016-03-05 19:00:00,32.6,200,11,67.03333333333333
2016-03-05 22:00:00,30.5,220,11,55.9
2016-03-06 01:00:00,28.5,245,4,52.53333333333334
2016-03-06 04:00:00,27.3,175,7,57.29999999999999
2016-03-06 07:00:00,27.5,165,12,58.7
2016-03-06 10:00:00,32.1,175,16,45.133333333333326
2016-03-06 13:00:00,35.2,170,12,43.6
2016-03-06 16:00:00,35.4,185,10,50.866666666666674
2016-03-06 19:00:00,32.6,185,12,60.80000000000001
2016-03-06 22:00:00,31.2,205,13,46.05
2016-03-07 01:00:00,29.6,230,11,45.3
2016-03-07 04:00:00,27.8,230,7,48.53333333333334
2016-03-07 07:00:00,28.5,280,11,59.16666666666666
2016-03-07 10:00:00,34.1,265,12,50.6
2016-03-07 13:00:00,35.9,250,10,48.46666666666667
2016-03-07 16:00:00,35.9,225,13,50.70000000000001
2016-03-07 19:00:00,32.5,225,14,47.43333333333334
2016-03-07 22:00:00,31.3,230,15,45.55
2016-03-08 01:00:00,29.7,215,21,38.43333333333333
2016-03-08 04:00:00,28.6,215,23,40.4
2016-03-08 07:00:00,28.8,225,22,47.56666666666666
2016-03-08 10:00:00,34.9,240,21,51.23333333333333
2016-03-08 13:00:00,37.6,260,16,49.46666666666666
2016-03-08 16:00:00,38.9,240,17,58.06666666666666
2016-03-08 19:00:00,35.2,230,22,62.93333333333333
