,PM2.5,Temp(C),WindDir,Wind Speed(km/h)
2016-03-03 08:00:00,31.2,25.4,80.0,38.0
2016-03-03 09:00:00,31.2,25.4,80.0,38.0
2016-03-03 10:00:00,31.2,28.6,85.0,40.0
2016-03-03 11:00:00,31.2,28.6,85.0,40.0
2016-03-03 12:00:00,24.5,28.6,85.0,40.0
2016-03-03 13:00:00,26.3,30.3,90.0,32.0
2016-03-03 14:00:00,22.9,30.3,90.0,32.0
2016-03-03 15:00:00,22.2,30.3,90.0,32.0
2016-03-03 16:00:00,23.9,29.3,95.0,31.0
2016-03-03 17:00:00,22.5,29.3,95.0,31.0
2016-03-03 18:00:00,26.173333333333332,29.3,95.0,31.0
2016-03-03 19:00:00,28.4,26.7,85.0,29.0
2016-03-03 20:00:00,25.7,26.7,85.0,29.0
2016-03-03 21:00:00,25.0,26.7,85.0,29.0
2016-03-03 22:00:00,23.4,26.1,105.0,29.0
2016-03-03 23:00:00,23.0,26.1,105.0,29.0
2016-03-04 00:00:00,23.6,26.1,105.0,29.0
2016-03-04 01:00:00,22.1,25.2,85.0,30.0
2016-03-04 02:00:00,22.2,25.2,85.0,30.0
2016-03-04 03:00:00,23.7,25.2,85.0,30.0
2016-03-04 04:00:00,24.1,24.6,90.0,31.0
2016-03-04 05:00:00,23.9,24.6,90.0,31.0
2016-03-04 06:00:00,24.9,24.6,90.0,31.0
2016-03-04 07:00:00,25.4,25.4,95.0,28.0
2016-03-04 08:00:00,27.0,25.4,95.0,28.0
2016-03-04 09:00:00,23.3,25.4,95.0,28.0
2016-03-04 10:00:00,21.1,28.8,95.0,28.0
2016-03-04 11:00:00,20.6,28.8,95.0,28.0
2016-03-04 12:00:00,22.7,28.8,95.0,28.0
2016-03-04 13:00:00,22.5,30.6,100.0,20.0
2016-03-04 14:00:00,21.3,30.6,100.0,20.0
2016-03-04 15:00:00,17.6,30.6,100.0,20.0
2016-03-04 16:00:00,22.1,29.2,110.0,16.0
2016-03-04 17:00:00,20.6,29.2,110.0,16.0
2016-03-04 18:00:00,24.2,29.2,110.0,16.0
2016-03-04 19:00:00,32.3,26.9,100.0,15.0
2016-03-04 20:00:00,32.3,26.9,100.0,15.0
2016-03-04 21:00:00,32.3,26.9,100.0,15.0
2016-03-04 22:00:00,32.2,26.3,100.0,23.0
2016-03-04 23:00:00,32.1,26.3,100.0,23.0
2016-03-05 00:00:00,32.1,26.3,100.0,23.0
2016-03-05 01:00:00,32.1,25.6,100.0,23.0
2016-03-05 02:00:00,32.1,25.6,100.0,23.0
2016-03-05 03:00:00,32.1,25.6,100.0,23.0
2016-03-05 04:00:00,32.0,25.2,100.0,24.0
2016-03-05 05:00:00,32.1,25.2,100.0,24.0
2016-03-05 06:00:00,32.1,25.2,100.0,24.0
2016-03-05 07:00:00,32.2,26.2,90.0,22.0
2016-03-05 08:00:00,32.2,26.2,90.0,22.0
2016-03-05 09:00:00,32.1,26.2,90.0,22.0
2016-03-05 10:00:00,32.1,29.0,90.0,24.0
2016-03-05 11:00:00,32.1,29.0,90.0,24.0
2016-03-05 12:00:00,32.1,29.0,90.0,24.0
2016-03-05 13:00:00,32.1,30.6,95.0,23.0
2016-03-05 14:00:00,32.1,30.6,95.0,23.0
2016-03-05 15:00:00,32.1,30.6,95.0,23.0
2016-03-05 16:00:00,32.1,29.9,100.0,22.0
2016-03-05 17:00:00,29.7,29.9,100.0,22.0
2016-03-05 18:00:00,22.7,29.9,100.0,22.0
2016-03-05 19:00:00,27.9,27.2,110.0,23.0
2016-03-05 20:00:00,27.7,27.2,110.0,23.0
2016-03-05 21:00:00,23.6,27.2,110.0,23.0
2016-03-05 22:00:00,23.5,26.2,105.0,27.0
2016-03-05 23:00:00,23.6,26.2,105.0,27.0
2016-03-06 00:00:00,25.7,26.2,105.0,27.0
2016-03-06 01:00:00,24.4,25.6,105.0,27.0
2016-03-06 02:00:00,23.2,25.6,105.0,27.0
2016-03-06 03:00:00,21.2,25.6,105.0,27.0
2016-03-06 04:00:00,24.1,25.2,110.0,30.0
2016-03-06 05:00:00,23.4,25.2,110.0,30.0
2016-03-06 06:00:00,27.2,25.2,110.0,30.0
2016-03-06 07:00:00,24.8,26.0,105.0,30.0
2016-03-06 08:00:00,25.9,26.0,105.0,30.0
2016-03-06 09:00:00,23.4,26.0,105.0,30.0
2016-03-06 10:00:00,24.5,29.2,95.0,31.0
2016-03-06 11:00:00,23.7,29.2,95.0,31.0
2016-03-06 12:00:00,24.8,29.2,95.0,31.0
2016-03-06 13:00:00,22.1,30.4,100.0,26.0
2016-03-06 14:00:00,21.6,30.4,100.0,26.0
2016-03-06 15:00:00,21.5,30.4,100.0,26.0
2016-03-06 16:00:00,19.8,29.6,105.0,23.0
2016-03-06 17:00:00,20.9,29.6,105.0,23.0
2016-03-06 18:00:00,27.2,29.6,105.0,23.0
2016-03-06 19:00:00,29.8,27.2,95.0,22.0
2016-03-06 20:00:00,28.1,27.2,95.0,22.0
2016-03-06 21:00:00,22.0,27.2,95.0,22.0
2016-03-06 22:00:00,20.0,27.1,90.0,25.0
2016-03-06 23:00:00,17.3,27.1,90.0,25.0
2016-03-07 00:00:00,16.8,27.1,90.0,25.0
2016-03-07 01:00:00,17.0,26.4,95.0,24.0
2016-03-07 02:00:00,17.3,26.4,95.0,24.0
2016-03-07 03:00:00,15.2,26.4,95.0,24.0
2016-03-07 04:00:00,15.1,26.0,95.0,28.0
2016-03-07 05:00:00,22.6,26.0,95.0,28.0
2016-03-07 06:00:00,21.9,26.0,95.0,28.0
2016-03-07 07:00:00,24.5,26.6,90.0,32.0
2016-03-07 08:00:00,22.4,26.6,90.0,32.0
2016-03-07 09:00:00,22.3,26.6,90.0,32.0
2016-03-07 10:00:00,19.7,29.3,90.0,36.0
2016-03-07 11:00:00,21.8,29.3,90.0,36.0
2016-03-07 12:00:00,15.7,29.3,90.0,36.0
2016-03-07 13:00:00,15.9,30.9,100.0,32.0
2016-03-07 14:00:00,15.7,30.9,100.0,32.0
2016-03-07 15:00:00,13.4,30.9,100.0,32.0
2016-03-07 16:00:00,14.2,29.8,105.0,31.0
2016-03-07 17:00:00,10.5,29.8,105.0,31.0
2016-03-07 18:00:00,13.8,29.8,105.0,31.0
2016-03-07 19:00:00,18.4,27.0,95.0,35.0
2016-03-07 20:00:00,20.2,27.0,95.0,35.0
2016-03-07 21:00:00,14.8,27.0,95.0,35.0
2016-03-07 22:00:00,18.5,26.2,100.0,37.0
2016-03-07 23:00:00,18.2,26.2,100.0,37.0
2016-03-08 00:00:00,18.8,26.2,100.0,37.0
2016-03-08 01:00:00,18.0,25.6,100.0,36.0
2016-03-08 02:00:00,18.4,25.6,100.0,36.0
2016-03-08 03:00:00,18.2,25.6,100.0,36.0
2016-03-08 04:00:00,19.9,25.2,100.0,32.0
2016-03-08 05:00:00,21.3,25.2,100.0,32.0
2016-03-08 06:00:00,20.5,25.2,100.0,32.0
2016-03-08 07:00:00,21.0,25.6,100.0,29.0
2016-03-08 08:00:00,20.5,25.6,100.0,29.0
2016-03-08 09:00:00,19.5,25.6,100.0,29.0
2016-03-08 10:00:00,23.9,29.0,95.0,29.0
2016-03-08 11:00:00,21.1,29.0,95.0,29.0
2016-03-08 12:00:00,19.6,29.0,95.0,29.0
2016-03-08 13:00:00,19.7,30.7,100.0,20.0
2016-03-08 14:00:00,18.5,30.7,100.0,20.0
2016-03-08 15:00:00,18.0,30.7,100.0,20.0
2016-03-08 16:00:00,16.7,29.7,100.0,15.0
2016-03-08 17:00:00,19.0,29.7,100.0,15.0
2016-03-08 18:00:00,22.6,29.7,100.0,15.0
2016-03-08 19:00:00,24.7,26.4,100.0,19.0
2016-03-08 20:00:00,28.4,26.4,100.0,19.0
2016-03-08 21:00:00,24.6,26.4,100.0,19.0
2016-03-08 22:00:00,27.8,25.3,95.0,21.0
2016-03-08 23:00:00,12.8,25.3,95.0,21.0
2016-03-09 00:00:00,17.9,25.3,95.0,21.0
2016-03-09 01:00:00,18.4,24.6,85.0,22.0
2016-03-09 02:00:00,20.7,24.6,85.0,22.0
2016-03-09 03:00:00,18.5,24.6,85.0,22.0
2016-03-09 04:00:00,27.7,23.4,90.0,22.0
2016-03-09 05:00:00,23.4,23.4,90.0,22.0
2016-03-09 06:00:00,21.0,23.4,90.0,22.0
2016-03-09 07:00:00,18.7,24.9,80.0,22.0
2016-03-09 08:00:00,18.2,24.9,80.0,22.0
2016-03-09 09:00:00,21.1,24.9,80.0,22.0
2016-03-09 10:00:00,23.4,28.9,85.0,21.0
2016-03-09 11:00:00,18.3,28.9,85.0,21.0
2016-03-09 12:00:00,19.6,28.9,85.0,21.0
2016-03-09 13:00:00,20.3,31.0,100.0,15.0
2016-03-09 14:00:00,19.2,31.0,100.0,15.0
2016-03-09 15:00:00,19.2,31.0,100.0,15.0
2016-03-09 16:00:00,18.4,29.8,100.0,7.0
2016-03-09 17:00:00,18.9,29.8,100.0,7.0
2016-03-09 18:00:00,14.7,29.8,100.0,7.0
2016-03-09 19:00:00,26.6,26.3,70.0,7.0
2016-03-09 20:00:00,26.6,26.3,70.0,7.0
2016-03-09 21:00:00,28.7,26.3,70.0,7.0
2016-03-09 22:00:00,24.7,24.3,60.0,12.0
2016-03-09 23:00:00,21.6,24.3,60.0,12.0
2016-03-10 00:00:00,19.8,24.3,60.0,12.0
2016-03-10 01:00:00,21.59130434782609,23.8,55.0,9.0
2016-03-10 02:00:00,20.9,23.8,55.0,9.0
2016-03-10 03:00:00,26.0,23.8,55.0,9.0
2016-03-10 04:00:00,22.0,22.8,55.0,7.0
2016-03-10 05:00:00,25.2,22.8,55.0,7.0
2016-03-10 06:00:00,22.7,22.8,55.0,7.0
2016-03-10 07:00:00,18.2,25.1,45.0,11.0
2016-03-10 08:00:00,16.7,25.1,45.0,11.0
2016-03-10 09:00:00,17.3,25.1,45.0,11.0
2016-03-10 10:00:00,22.4,29.4,50.0,13.0
2016-03-10 11:00:00,20.8,29.4,50.0,13.0
2016-03-10 12:00:00,22.2,29.4,50.0,13.0
2016-03-10 13:00:00,20.5,30.7,65.0,10.0
2016-03-10 14:00:00,20.1,30.7,65.0,10.0
2016-03-10 15:00:00,18.0,30.7,65.0,10.0
2016-03-10 16:00:00,19.3,29.6,70.0,5.0
2016-03-10 17:00:00,20.1,29.6,70.0,5.0
2016-03-10 18:00:00,21.0,29.6,70.0,5.0
2016-03-10 19:00:00,24.2,26.3,55.0,11.0
2016-03-10 20:00:00,28.2,26.3,55.0,11.0
2016-03-10 21:00:00,26.7,26.3,55.0,11.0
2016-03-10 22:00:00,22.5,24.9,70.0,17.0
2016-03-10 23:00:00,21.8,24.9,70.0,17.0
2016-03-11 00:00:00,20.9,24.9,70.0,17.0
2016-03-11 01:00:00,21.4,24.0,65.0,13.0
2016-03-11 02:00:00,21.4,24.0,65.0,13.0
2016-03-11 03:00:00,21.5,24.0,65.0,13.0
2016-03-11 04:00:00,21.6,22.6,75.0,12.0
2016-03-11 05:00:00,21.6,22.6,75.0,12.0
2016-03-11 06:00:00,21.7,22.6,75.0,12.0
2016-03-11 07:00:00,21.7,25.2,80.0,14.0
2016-03-11 08:00:00,21.7,25.2,80.0,14.0
2016-03-11 09:00:00,21.6,25.2,80.0,14.0
2016-03-11 10:00:00,21.6,29.4,80.0,18.0
2016-03-11 11:00:00,21.6,29.4,80.0,18.0
2016-03-11 12:00:00,21.5,29.4,80.0,18.0
2016-03-11 13:00:00,21.6,31.4,85.0,14.0
2016-03-11 14:00:00,21.6,31.4,85.0,14.0
2016-03-11 15:00:00,21.6,31.4,85.0,14.0
2016-03-11 16:00:00,21.6,30.0,90.0,16.0
2016-03-11 17:00:00,21.6,30.0,90.0,16.0
2016-03-11 18:00:00,21.7,30.0,90.0,16.0
2016-03-11 19:00:00,21.8,26.8,85.0,21.0
2016-03-11 20:00:00,21.8,26.8,85.0,21.0
2016-03-11 21:00:00,21.8,26.8,85.0,21.0
2016-03-11 22:00:00,21.8,25.7,75.0,25.0
2016-03-11 23:00:00,21.7,25.7,75.0,25.0
2016-03-12 00:00:00,21.7,25.7,75.0,25.0
2016-03-12 01:00:00,21.7,25.7,70.0,26.0
2016-03-12 02:00:00,21.6,25.7,70.0,26.0
2016-03-12 03:00:00,21.5,25.7,70.0,26.0
2016-03-12 04:00:00,21.6,26.0,75.0,27.0
2016-03-12 05:00:00,21.7,26.0,75.0,27.0
2016-03-12 06:00:00,21.8,26.0,75.0,27.0
2016-03-12 07:00:00,21.7,25.5,95.0,24.0
2016-03-12 08:00:00,21.7,25.5,95.0,24.0
2016-03-12 09:00:00,21.7,25.5,95.0,24.0
2016-03-12 10:00:00,21.7,28.9,110.0,27.0
2016-03-12 11:00:00,21.7,28.9,110.0,27.0
