,PM2.5,Temp(C),WindDir,Wind Speed(km/h),Cambodia_frp,Myanmar_frp,Thailand_frp,Lao_PDR_frp
2016-03-03 08:00:00,44.2,25.4,70.0,20.0,0.0,0.0,0.0,0.0
2016-03-03 09:00:00,44.2,25.4,70.0,20.0,0.0,0.0,0.0,0.0
2016-03-03 10:00:00,44.3,30.9,75.0,16.0,0.0,0.0,0.0,0.0
2016-03-03 11:00:00,44.2,30.9,75.0,16.0,0.0,0.0,0.0,0.0
2016-03-03 12:00:00,34.2,30.9,75.0,16.0,8.984034954407283,9.319249999999998,6.580530303030307,7.991304347826089
2016-03-03 13:00:00,34.6,33.4,65.0,11.0,0.0,0.0,0.0,0.0
2016-03-03 14:00:00,31.0,33.4,65.0,11.0,0.0,8.099818941504202,9.423971962616825,0.0
2016-03-03 15:00:00,31.6,33.4,65.0,11.0,0.0,0.0,0.0,0.0
2016-03-03 16:00:00,30.1,31.7,55.0,10.0,0.0,0.0,0.0,0.0
2016-03-03 17:00:00,45.5,31.7,55.0,10.0,0.0,0.0,0.0,0.0
2016-03-03 18:00:00,39.89333333333333,31.7,55.0,10.0,0.0,0.0,0.0,0.0
2016-03-03 19:00:00,47.6,27.2,65.0,17.0,0.0,0.0,0.0,0.0
2016-03-03 20:00:00,47.9,27.2,65.0,17.0,0.0,0.0,0.0,0.0
2016-03-03 21:00:00,46.1,27.2,65.0,17.0,0.0,0.0,0.0,0.0
2016-03-03 22:00:00,38.0,25.6,70.0,18.0,0.0,0.0,0.0,0.0
2016-03-03 23:00:00,34.9,25.6,70.0,18.0,0.0,0.0,0.0,0.0
2016-03-04 00:00:00,33.3,25.6,70.0,18.0,0.0,0.0,0.0,0.0
2016-03-04 01:00:00,29.1,24.7,65.0,22.0,1.5742339832869108,1.5057723577235766,1.4357715430861717,1.2748453608247425
2016-03-04 02:00:00,31.2,24.7,65.0,22.0,0.0,1.2385281385281386,4.12,0.0
2016-03-04 03:00:00,31.3,24.7,65.0,22.0,0.0,0.0,0.0,0.0
2016-03-04 04:00:00,30.9,24.0,85.0,24.0,0.0,0.0,0.0,0.0
2016-03-04 05:00:00,33.1,24.0,85.0,24.0,0.0,0.0,0.0,0.0
2016-03-04 06:00:00,32.9,24.0,85.0,24.0,0.0,0.0,0.0,0.0
2016-03-04 07:00:00,34.1,25.6,90.0,23.0,0.0,0.0,0.0,0.0
2016-03-04 08:00:00,35.9,25.6,90.0,23.0,0.0,0.0,0.0,0.0
2016-03-04 09:00:00,27.9,25.6,90.0,23.0,0.0,0.0,0.0,0.0
2016-03-04 10:00:00,31.0,30.3,100.0,16.0,0.0,0.0,0.0,0.0
2016-03-04 11:00:00,31.1,30.3,100.0,16.0,0.0,0.0,0.0,0.0
2016-03-04 12:00:00,29.9,30.3,100.0,16.0,9.129683257918549,0.0,8.493367346938774,8.115748502994013
2016-03-04 13:00:00,30.5,31.3,100.0,8.0,0.0,0.0,0.0,0.0
2016-03-04 14:00:00,28.8,31.3,100.0,8.0,8.573155339805824,7.600149659863968,6.686076487252122,13.388823529411772
