,PM2.5,WindDir,Wind Speed(km/h),Temp(C)
2017-11-01 00:00:00,41.81739130434782,75.0,29.0,22.2
2017-11-01 01:00:00,41.1,75.0,28.0,22.5
2017-11-01 02:00:00,44.2,75.0,28.0,22.5
2017-11-01 03:00:00,47.0,75.0,28.0,22.5
2017-11-01 04:00:00,44.8,65.0,29.0,21.7
2017-11-01 05:00:00,40.4,65.0,29.0,21.7
2017-11-01 06:00:00,41.0,65.0,29.0,21.7
2017-11-01 07:00:00,37.8,60.0,29.0,21.6
2017-11-01 08:00:00,37.5,60.0,29.0,21.6
2017-11-01 09:00:00,39.5,60.0,29.0,21.6
2017-11-01 10:00:00,33.3,60.0,29.0,24.9
2017-11-01 11:00:00,34.0,60.0,29.0,24.9
2017-11-01 12:00:00,37.7,60.0,29.0,24.9
2017-11-01 13:00:00,40.1,70.0,23.0,28.0
2017-11-01 14:00:00,46.6,70.0,23.0,28.0
2017-11-01 15:00:00,48.5,70.0,23.0,28.0
2017-11-01 16:00:00,49.4,75.0,24.0,27.3
2017-11-01 17:00:00,46.3,75.0,24.0,27.3
2017-11-01 18:00:00,43.5,75.0,24.0,27.3
2017-11-01 19:00:00,40.1,65.0,31.0,23.2
2017-11-01 20:00:00,41.4,65.0,31.0,23.2
2017-11-01 21:00:00,42.3,65.0,31.0,23.2
2017-11-01 22:00:00,40.6,65.0,29.0,22.9
2017-11-01 23:00:00,44.7,65.0,29.0,22.9
2017-11-02 00:00:00,42.2,65.0,29.0,22.9
2017-11-02 01:00:00,43.4,70.0,27.0,21.5
2017-11-02 02:00:00,47.3,70.0,27.0,21.5
2017-11-02 03:00:00,43.8,70.0,27.0,21.5
2017-11-02 04:00:00,40.3,65.0,27.0,20.8
2017-11-02 05:00:00,29.5,65.0,27.0,20.8
2017-11-02 06:00:00,28.8,65.0,27.0,20.8
2017-11-02 07:00:00,26.4,70.0,30.0,21.8
2017-11-02 08:00:00,24.7,70.0,30.0,21.8
2017-11-02 09:00:00,25.7,70.0,30.0,21.8
2017-11-02 10:00:00,23.5,60.0,26.0,27.2
2017-11-02 11:00:00,19.8,60.0,26.0,27.2
2017-11-02 12:00:00,28.5,60.0,26.0,27.2
2017-11-02 13:00:00,32.1,45.0,19.0,30.2
2017-11-02 14:00:00,33.9,45.0,19.0,30.2
2017-11-02 15:00:00,30.6,45.0,19.0,30.2
2017-11-02 16:00:00,37.6,45.0,20.0,29.7
2017-11-02 17:00:00,38.8,45.0,20.0,29.7
2017-11-02 18:00:00,39.7,45.0,20.0,29.7
2017-11-02 19:00:00,38.2,65.0,27.0,24.5
2017-11-02 20:00:00,38.5,65.0,27.0,24.5
2017-11-02 21:00:00,40.5,65.0,27.0,24.5
2017-11-02 22:00:00,37.5,60.0,30.0,22.8
2017-11-02 23:00:00,31.6,60.0,30.0,22.8
2017-11-03 00:00:00,38.5,60.0,30.0,22.8
2017-11-03 01:00:00,39.0,60.0,33.0,20.9
2017-11-03 02:00:00,42.5,60.0,33.0,20.9
2017-11-03 03:00:00,43.6,60.0,33.0,20.9
2017-11-03 04:00:00,39.6,65.0,40.0,20.0
2017-11-03 05:00:00,44.4,65.0,40.0,20.0
2017-11-03 06:00:00,43.8,65.0,40.0,20.0
2017-11-03 07:00:00,37.7,60.0,41.0,20.4
2017-11-03 08:00:00,45.1,60.0,41.0,20.4
2017-11-03 09:00:00,36.3,60.0,41.0,20.4
2017-11-03 10:00:00,37.0,60.0,44.0,26.3
2017-11-03 11:00:00,39.7,60.0,44.0,26.3
2017-11-03 12:00:00,42.5,60.0,44.0,26.3
2017-11-03 13:00:00,45.5,55.0,31.0,29.9
2017-11-03 14:00:00,53.5,55.0,31.0,29.9
2017-11-03 15:00:00,56.8,55.0,31.0,29.9
2017-11-03 16:00:00,43.1,60.0,39.0,29.3
2017-11-03 17:00:00,44.3,60.0,39.0,29.3
2017-11-03 18:00:00,41.1,60.0,39.0,29.3
2017-11-03 19:00:00,38.1,65.0,41.0,23.9
2017-11-03 20:00:00,37.3,65.0,41.0,23.9
2017-11-03 21:00:00,38.8,65.0,41.0,23.9
2017-11-03 22:00:00,42.0,60.0,55.0,22.2
2017-11-03 23:00:00,44.2,60.0,55.0,22.2
2017-11-04 00:00:00,44.9,60.0,55.0,22.2
2017-11-04 01:00:00,44.8,65.0,68.0,20.1
2017-11-04 02:00:00,44.6,65.0,68.0,20.1
2017-11-04 03:00:00,45.0,65.0,68.0,20.1
2017-11-04 04:00:00,44.6,60.0,76.0,20.2
2017-11-04 05:00:00,37.02307692307693,60.0,76.0,20.2
2017-11-04 06:00:00,37.02307692307693,60.0,76.0,20.2
2017-11-04 07:00:00,37.02307692307693,65.0,70.0,21.1
2017-11-04 08:00:00,29.0,65.0,70.0,21.1
2017-11-04 09:00:00,28.8,65.0,70.0,21.1
2017-11-04 10:00:00,29.0,60.0,71.0,26.5
2017-11-04 11:00:00,31.0,60.0,71.0,26.5
2017-11-04 12:00:00,34.6,60.0,71.0,26.5
2017-11-04 13:00:00,34.8,45.0,33.0,30.0
2017-11-04 14:00:00,35.1,45.0,33.0,30.0
2017-11-04 15:00:00,35.1,45.0,33.0,30.0
2017-11-04 16:00:00,37.02307692307693,45.0,44.0,28.2
2017-11-04 17:00:00,37.02307692307693,45.0,44.0,28.2
2017-11-04 18:00:00,37.02307692307693,45.0,44.0,28.2
2017-11-04 19:00:00,37.02307692307693,55.0,62.0,24.9
2017-11-04 20:00:00,37.02307692307693,55.0,62.0,24.9
2017-11-04 21:00:00,37.02307692307693,55.0,62.0,24.9
2017-11-04 22:00:00,37.02307692307693,65.0,74.0,23.6
2017-11-04 23:00:00,37.02307692307693,65.0,74.0,23.6
2017-11-05 00:00:00,34.449999999999996,65.0,74.0,23.6
2017-11-05 01:00:00,34.449999999999996,70.0,81.0,23.1
2017-11-05 02:00:00,37.6,70.0,81.0,23.1
2017-11-05 03:00:00,34.8,70.0,81.0,23.1
2017-11-05 04:00:00,44.3,70.0,82.0,22.4
2017-11-05 05:00:00,38.6,70.0,82.0,22.4
2017-11-05 06:00:00,29.6,70.0,82.0,22.4
2017-11-05 07:00:00,24.5,75.0,81.0,21.0
2017-11-05 08:00:00,32.2,75.0,81.0,21.0
2017-11-05 09:00:00,26.1,75.0,81.0,21.0
2017-11-05 10:00:00,29.5,70.0,84.0,20.0
2017-11-05 11:00:00,32.0,70.0,84.0,20.0
2017-11-05 12:00:00,35.2,70.0,84.0,20.0
2017-11-05 13:00:00,36.7,70.0,78.0,19.6
2017-11-05 14:00:00,38.2,70.0,78.0,19.6
2017-11-05 15:00:00,40.8,70.0,78.0,19.6
2017-11-05 16:00:00,35.9,75.0,79.0,19.3
2017-11-05 17:00:00,38.9,75.0,79.0,19.3
2017-11-05 18:00:00,35.1,75.0,79.0,19.3
2017-11-05 19:00:00,32.4,80.0,71.0,19.7
2017-11-05 20:00:00,30.9,80.0,71.0,19.7
2017-11-05 21:00:00,35.6,80.0,71.0,19.7
2017-11-05 22:00:00,38.0,85.0,62.0,19.4
2017-11-05 23:00:00,31.0,85.0,62.0,19.4
2017-11-06 00:00:00,31.5,85.0,62.0,19.4
2017-11-06 01:00:00,34.3,85.0,56.0,19.1
2017-11-06 02:00:00,28.3,85.0,56.0,19.1
2017-11-06 03:00:00,32.4,85.0,56.0,19.1
2017-11-06 04:00:00,39.3,80.0,56.0,18.7
2017-11-06 05:00:00,33.9,80.0,56.0,18.7
2017-11-06 06:00:00,32.3,80.0,56.0,18.7
2017-11-06 07:00:00,31.4,80.0,58.0,19.2
2017-11-06 08:00:00,27.4,80.0,58.0,19.2
2017-11-06 09:00:00,29.1,80.0,58.0,19.2
2017-11-06 10:00:00,31.2,80.0,58.0,23.1
2017-11-06 11:00:00,32.7,80.0,58.0,23.1
2017-11-06 12:00:00,27.3,80.0,58.0,23.1
2017-11-06 13:00:00,35.1,80.0,47.0,26.9
2017-11-06 14:00:00,37.5,80.0,47.0,26.9
2017-11-06 15:00:00,41.1,80.0,47.0,26.9
2017-11-06 16:00:00,40.9,75.0,41.0,27.2
2017-11-06 17:00:00,39.9,75.0,41.0,27.2
2017-11-06 18:00:00,39.8,75.0,41.0,27.2
2017-11-06 19:00:00,39.8,80.0,46.0,23.6
2017-11-06 20:00:00,33.94761904761904,80.0,46.0,23.6
2017-11-06 21:00:00,33.94761904761904,80.0,46.0,23.6
2017-11-06 22:00:00,33.94761904761904,75.0,42.0,22.7
2017-11-06 23:00:00,27.7,75.0,42.0,22.7
2017-11-07 00:00:00,26.6,75.0,42.0,22.7
2017-11-07 01:00:00,27.7,80.0,39.0,20.8
2017-11-07 02:00:00,36.5,80.0,39.0,20.8
2017-11-07 03:00:00,31.5,80.0,39.0,20.8
