,PM2.5,WindDir,Wind Speed(km/h),Temp(C)
2016-03-03 08:00:00,62.9,0.0,0.0,0.0
2016-03-03 09:00:00,62.9,0.0,0.0,0.0
2016-03-03 10:00:00,55.5,75.0,13.0,31.4
2016-03-03 11:00:00,55.5,75.0,13.0,31.4
2016-03-03 12:00:00,47.9,75.0,13.0,31.4
2016-03-03 13:00:00,43.6,70.0,12.0,34.1
2016-03-03 14:00:00,28.6,70.0,12.0,34.1
2016-03-03 15:00:00,33.6,70.0,12.0,34.1
2016-03-03 16:00:00,34.8,60.0,12.0,34.6
2016-03-03 17:00:00,31.3,60.0,12.0,34.6
2016-03-03 18:00:00,0.0,60.0,12.0,34.6
2016-03-03 19:00:00,42.1,70.0,11.0,29.1
2016-03-03 20:00:00,38.6,70.0,11.0,29.1
2016-03-03 21:00:00,45.5,70.0,11.0,29.1
2016-03-03 22:00:00,49.9,70.0,15.0,27.3
2016-03-03 23:00:00,44.1,70.0,15.0,27.3
2016-03-04 00:00:00,42.1,70.0,15.0,27.3
2016-03-04 01:00:00,43.1,95.0,13.0,26.5
2016-03-04 02:00:00,44.8,95.0,13.0,26.5
2016-03-04 03:00:00,37.5,95.0,13.0,26.5
2016-03-04 04:00:00,39.6,115.0,11.0,25.8
2016-03-04 05:00:00,46.0,115.0,11.0,25.8
2016-03-04 06:00:00,43.8,115.0,11.0,25.8
2016-03-04 07:00:00,36.6,95.0,12.0,26.1
2016-03-04 08:00:00,34.2,95.0,12.0,26.1
2016-03-04 09:00:00,35.0,95.0,12.0,26.1
2016-03-04 10:00:00,30.0,105.0,13.0,30.7
2016-03-04 11:00:00,25.6,105.0,13.0,30.7
2016-03-04 12:00:00,32.1,105.0,13.0,30.7
2016-03-04 13:00:00,24.4,115.0,10.0,32.9
2016-03-04 14:00:00,32.8,115.0,10.0,32.9
2016-03-04 15:00:00,32.9,115.0,10.0,32.9
2016-03-04 16:00:00,30.7,90.0,7.0,33.2
2016-03-04 17:00:00,29.2,90.0,7.0,33.2
2016-03-04 18:00:00,28.1,90.0,7.0,33.2
2016-03-04 19:00:00,33.3,75.0,13.0,28.3
2016-03-04 20:00:00,33.3,75.0,13.0,28.3
2016-03-04 21:00:00,33.3,75.0,13.0,28.3
2016-03-04 22:00:00,33.3,90.0,14.0,27.6
2016-03-04 23:00:00,33.3,90.0,14.0,27.6
2016-03-05 00:00:00,33.3,90.0,14.0,27.6
2016-03-05 01:00:00,33.3,110.0,13.0,26.9
2016-03-05 02:00:00,33.3,110.0,13.0,26.9
2016-03-05 03:00:00,33.3,110.0,13.0,26.9
2016-03-05 04:00:00,33.3,130.0,10.0,26.3
2016-03-05 05:00:00,33.3,130.0,10.0,26.3
2016-03-05 06:00:00,33.3,130.0,10.0,26.3
2016-03-05 07:00:00,33.3,145.0,17.0,26.6
2016-03-05 08:00:00,33.3,145.0,17.0,26.6
2016-03-05 09:00:00,33.3,145.0,17.0,26.6
2016-03-05 10:00:00,33.3,140.0,16.0,31.4
2016-03-05 11:00:00,33.3,140.0,16.0,31.4
2016-03-05 12:00:00,33.3,140.0,16.0,31.4
2016-03-05 13:00:00,33.3,130.0,16.0,32.7
2016-03-05 14:00:00,33.3,130.0,16.0,32.7
2016-03-05 15:00:00,33.3,130.0,16.0,32.7
2016-03-05 16:00:00,33.3,125.0,13.0,32.7
2016-03-05 17:00:00,33.8,125.0,13.0,32.7
2016-03-05 18:00:00,20.0,125.0,13.0,32.7
2016-03-05 19:00:00,24.3,120.0,16.0,28.5
2016-03-05 20:00:00,26.3,120.0,16.0,28.5
2016-03-05 21:00:00,25.9,120.0,16.0,28.5
2016-03-05 22:00:00,25.5,130.0,14.0,27.9
2016-03-05 23:00:00,28.9,130.0,14.0,27.9
2016-03-06 00:00:00,24.0,130.0,14.0,27.9
2016-03-06 01:00:00,24.1,110.0,7.0,27.2
2016-03-06 02:00:00,25.2,110.0,7.0,27.2
2016-03-06 03:00:00,23.8,110.0,7.0,27.2
2016-03-06 04:00:00,27.1,110.0,7.0,26.6
2016-03-06 05:00:00,41.9,110.0,7.0,26.6
2016-03-06 06:00:00,41.0,110.0,7.0,26.6
2016-03-06 07:00:00,39.5,125.0,10.0,26.9
2016-03-06 08:00:00,35.3,125.0,10.0,26.9
2016-03-06 09:00:00,34.1,125.0,10.0,26.9
2016-03-06 10:00:00,30.9,120.0,11.0,31.7
2016-03-06 11:00:00,27.6,120.0,11.0,31.7
2016-03-06 12:00:00,26.7,120.0,11.0,31.7
2016-03-06 13:00:00,28.2,130.0,16.0,33.3
2016-03-06 14:00:00,27.0,130.0,16.0,33.3
