,PM2.5,WindDir,Wind Speed(km/h),Temp(C)
2016-03-03 08:00:00,65.2,0.0,0.0,0.0
2016-03-03 09:00:00,65.2,0.0,0.0,0.0
2016-03-03 10:00:00,64.9,80.0,17.0,31.1
2016-03-03 11:00:00,64.9,80.0,17.0,31.1
2016-03-03 12:00:00,38.4,80.0,17.0,31.1
2016-03-03 13:00:00,39.0,80.0,13.0,35.1
2016-03-03 14:00:00,30.1,80.0,13.0,35.1
2016-03-03 15:00:00,32.3,80.0,13.0,35.1
2016-03-03 16:00:00,32.0,85.0,10.0,36.7
2016-03-03 17:00:00,64.1,85.0,10.0,36.7
2016-03-03 18:00:00,0.0,85.0,10.0,36.7
2016-03-03 19:00:00,76.6,100.0,13.0,31.8
2016-03-03 20:00:00,77.3,100.0,13.0,31.8
2016-03-03 21:00:00,68.6,100.0,13.0,31.8
2016-03-03 22:00:00,51.7,95.0,12.0,28.8
2016-03-03 23:00:00,49.2,95.0,12.0,28.8
2016-03-04 00:00:00,43.3,95.0,12.0,28.8
2016-03-04 01:00:00,40.0,115.0,13.0,27.1
2016-03-04 02:00:00,37.8,115.0,13.0,27.1
2016-03-04 03:00:00,38.6,115.0,13.0,27.1
2016-03-04 04:00:00,41.5,130.0,11.0,25.2
2016-03-04 05:00:00,42.2,130.0,11.0,25.2
2016-03-04 06:00:00,41.3,130.0,11.0,25.2
2016-03-04 07:00:00,39.4,115.0,9.0,25.7
2016-03-04 08:00:00,42.5,115.0,9.0,25.7
2016-03-04 09:00:00,33.7,115.0,9.0,25.7
2016-03-04 10:00:00,32.3,115.0,8.0,31.9
2016-03-04 11:00:00,30.2,115.0,8.0,31.9
2016-03-04 12:00:00,33.2,115.0,8.0,31.9
2016-03-04 13:00:00,32.3,140.0,7.0,35.7
2016-03-04 14:00:00,32.0,140.0,7.0,35.7
2016-03-04 15:00:00,28.1,140.0,7.0,35.7
2016-03-04 16:00:00,27.7,155.0,5.0,37.0
2016-03-04 17:00:00,29.2,155.0,5.0,37.0
2016-03-04 18:00:00,30.4,155.0,5.0,37.0
2016-03-04 19:00:00,37.4,335.0,4.0,31.3
2016-03-04 20:00:00,37.4,335.0,4.0,31.3
2016-03-04 21:00:00,37.4,335.0,4.0,31.3
2016-03-04 22:00:00,37.4,85.0,4.0,28.6
2016-03-04 23:00:00,37.2,85.0,4.0,28.6
2016-03-05 00:00:00,37.2,85.0,4.0,28.6
2016-03-05 01:00:00,37.2,115.0,11.0,27.3
2016-03-05 02:00:00,37.2,115.0,11.0,27.3
2016-03-05 03:00:00,37.2,115.0,11.0,27.3
2016-03-05 04:00:00,37.1,135.0,11.0,25.8
2016-03-05 05:00:00,37.2,135.0,11.0,25.8
2016-03-05 06:00:00,37.2,135.0,11.0,25.8
2016-03-05 07:00:00,37.2,155.0,14.0,26.1
2016-03-05 08:00:00,37.2,155.0,14.0,26.1
2016-03-05 09:00:00,37.2,155.0,14.0,26.1
2016-03-05 10:00:00,37.2,155.0,16.0,32.0
2016-03-05 11:00:00,37.2,155.0,16.0,32.0
2016-03-05 12:00:00,37.2,155.0,16.0,32.0
2016-03-05 13:00:00,37.2,145.0,14.0,35.9
2016-03-05 14:00:00,37.1,145.0,14.0,35.9
2016-03-05 15:00:00,37.2,145.0,14.0,35.9
2016-03-05 16:00:00,37.2,145.0,12.0,37.2
