,PM2.5,WindDir,Wind Speed(km/h),Temp(C)
2016-03-03 08:00:00,35.8,0.0,0.0,0.0
2016-03-03 09:00:00,35.8,0.0,0.0,0.0
2016-03-03 10:00:00,36.0,85.0,8.0,27.0
2016-03-03 11:00:00,35.9,85.0,8.0,27.0
2016-03-03 12:00:00,0.0,85.0,8.0,27.0
2016-03-03 13:00:00,0.0,90.0,10.0,31.2
2016-03-03 14:00:00,0.0,90.0,10.0,31.2
2016-03-03 15:00:00,0.0,90.0,10.0,31.2
2016-03-03 16:00:00,0.0,80.0,6.0,33.0
2016-03-03 17:00:00,48.7,80.0,6.0,33.0
2016-03-03 18:00:00,0.0,80.0,6.0,33.0
2016-03-03 19:00:00,77.0,125.0,8.0,28.1
2016-03-03 20:00:00,55.7,125.0,8.0,28.1
2016-03-03 21:00:00,47.5,125.0,8.0,28.1
2016-03-03 22:00:00,36.6,130.0,8.0,26.7
2016-03-03 23:00:00,35.3,130.0,8.0,26.7
2016-03-04 00:00:00,34.0,130.0,8.0,26.7
2016-03-04 01:00:00,31.9,150.0,10.0,25.8
2016-03-04 02:00:00,30.8,150.0,10.0,25.8
2016-03-04 03:00:00,32.6,150.0,10.0,25.8
2016-03-04 04:00:00,38.0,190.0,11.0,23.1
2016-03-04 05:00:00,50.1,190.0,11.0,23.1
2016-03-04 06:00:00,49.1,190.0,11.0,23.1
2016-03-04 07:00:00,62.9,195.0,12.0,22.6
2016-03-04 08:00:00,65.7,195.0,12.0,22.6
2016-03-04 09:00:00,69.1,195.0,12.0,22.6
2016-03-04 10:00:00,51.4,215.0,12.0,29.5
2016-03-04 11:00:00,50.9,215.0,12.0,29.5
2016-03-04 12:00:00,46.4,215.0,12.0,29.5
2016-03-04 13:00:00,50.9,195.0,8.0,33.4
2016-03-04 14:00:00,46.9,195.0,8.0,33.4
2016-03-04 15:00:00,47.5,195.0,8.0,33.4
2016-03-04 16:00:00,46.0,215.0,6.0,34.9
2016-03-04 17:00:00,51.4,215.0,6.0,34.9
2016-03-04 18:00:00,62.0,215.0,6.0,34.9
2016-03-04 19:00:00,74.5,185.0,8.0,30.6
2016-03-04 20:00:00,74.6,185.0,8.0,30.6
2016-03-04 21:00:00,74.6,185.0,8.0,30.6
2016-03-04 22:00:00,74.4,185.0,15.0,29.6
2016-03-04 23:00:00,74.3,185.0,15.0,29.6
2016-03-05 00:00:00,74.2,185.0,15.0,29.6
2016-03-05 01:00:00,74.2,195.0,14.0,28.1
2016-03-05 02:00:00,74.2,195.0,14.0,28.1
2016-03-05 03:00:00,74.2,195.0,14.0,28.1
2016-03-05 04:00:00,74.2,175.0,16.0,26.3
2016-03-05 05:00:00,74.3,175.0,16.0,26.3
2016-03-05 06:00:00,74.4,175.0,16.0,26.3
2016-03-05 07:00:00,74.4,170.0,28.0,26.7
2016-03-05 08:00:00,74.4,170.0,28.0,26.7
2016-03-05 09:00:00,74.3,170.0,28.0,26.7
2016-03-05 10:00:00,74.3,180.0,23.0,32.9
2016-03-05 11:00:00,74.3,180.0,23.0,32.9
2016-03-05 12:00:00,74.3,180.0,23.0,32.9
2016-03-05 13:00:00,74.2,205.0,13.0,35.1
2016-03-05 14:00:00,74.2,205.0,13.0,35.1
2016-03-05 15:00:00,74.2,205.0,13.0,35.1
2016-03-05 16:00:00,74.2,215.0,10.0,36.0
2016-03-05 17:00:00,73.3,215.0,10.0,36.0
2016-03-05 18:00:00,0.0,215.0,10.0,36.0
2016-03-05 19:00:00,67.0,200.0,11.0,32.6
2016-03-05 20:00:00,69.7,200.0,11.0,32.6
