,PM2.5,WindDir,Wind Speed(km/h),Temp(C),Cambodia_frp,Myanmar_frp,Thailand_frp,Lao_PDR_frp
2016-03-03 08:00:00,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03 09:00:00,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-03 10:00:00,36.0,85.0,8.0,27.0,0.0,0.0,0.0,0.0
2016-03-03 11:00:00,35.9,85.0,8.0,27.0,0.0,0.0,0.0,0.0
2016-03-03 12:00:00,0.0,85.0,8.0,27.0,8.984034954407283,9.319249999999998,6.580530303030307,7.991304347826089
2016-03-03 13:00:00,0.0,90.0,10.0,31.2,0.0,0.0,0.0,0.0
2016-03-03 14:00:00,0.0,90.0,10.0,31.2,0.0,8.099818941504202,9.423971962616823,0.0
2016-03-03 15:00:00,0.0,90.0,10.0,31.2,0.0,0.0,0.0,0.0
2016-03-03 16:00:00,0.0,80.0,6.0,33.0,0.0,0.0,0.0,0.0
2016-03-03 17:00:00,48.7,80.0,6.0,33.0,0.0,0.0,0.0,0.0
2016-03-03 18:00:00,0.0,80.0,6.0,33.0,0.0,0.0,0.0,0.0
2016-03-03 19:00:00,77.0,125.0,8.0,28.1,0.0,0.0,0.0,0.0
2016-03-03 20:00:00,55.7,125.0,8.0,28.1,0.0,0.0,0.0,0.0
2016-03-03 21:00:00,47.5,125.0,8.0,28.1,0.0,0.0,0.0,0.0
2016-03-03 22:00:00,36.6,130.0,8.0,26.7,0.0,0.0,0.0,0.0
2016-03-03 23:00:00,35.3,130.0,8.0,26.7,0.0,0.0,0.0,0.0
2016-03-04 00:00:00,34.0,130.0,8.0,26.7,0.0,0.0,0.0,0.0
2016-03-04 01:00:00,31.9,150.0,10.0,25.8,1.5742339832869108,1.5057723577235766,1.4357715430861715,1.2748453608247423
2016-03-04 02:00:00,30.8,150.0,10.0,25.8,0.0,1.2385281385281386,4.12,0.0
2016-03-04 03:00:00,32.6,150.0,10.0,25.8,0.0,0.0,0.0,0.0
2016-03-04 04:00:00,38.0,190.0,11.0,23.1,0.0,0.0,0.0,0.0
2016-03-04 05:00:00,50.1,190.0,11.0,23.1,0.0,0.0,0.0,0.0
2016-03-04 06:00:00,49.1,190.0,11.0,23.1,0.0,0.0,0.0,0.0
2016-03-04 07:00:00,62.9,195.0,12.0,22.6,0.0,0.0,0.0,0.0
2016-03-04 08:00:00,65.7,195.0,12.0,22.6,0.0,0.0,0.0,0.0
2016-03-04 09:00:00,69.1,195.0,12.0,22.6,0.0,0.0,0.0,0.0
2016-03-04 10:00:00,51.4,215.0,12.0,29.5,0.0,0.0,0.0,0.0
2016-03-04 11:00:00,50.9,215.0,12.0,29.5,0.0,0.0,0.0,0.0
2016-03-04 12:00:00,46.4,215.0,12.0,29.5,9.129683257918549,0.0,8.493367346938774,8.115748502994013
2016-03-04 13:00:00,50.9,195.0,8.0,33.4,0.0,0.0,0.0,0.0
2016-03-04 14:00:00,46.9,195.0,8.0,33.4,8.573155339805824,7.600149659863968,6.686076487252122,13.388823529411772
2016-03-04 15:00:00,47.5,195.0,8.0,33.4,0.0,0.0,0.0,0.0
2016-03-04 16:00:00,46.0,215.0,6.0,34.9,0.0,0.0,0.0,0.0
2016-03-04 17:00:00,51.4,215.0,6.0,34.9,0.0,0.0,0.0,0.0
2016-03-04 18:00:00,62.0,215.0,6.0,34.9,0.0,0.0,0.0,0.0
2016-03-04 19:00:00,74.5,185.0,8.0,30.6,0.0,0.0,0.0,0.0
2016-03-04 20:00:00,74.6,185.0,8.0,30.6,0.0,0.0,0.0,0.0
2016-03-04 21:00:00,74.6,185.0,8.0,30.6,0.0,0.0,0.0,0.0
2016-03-04 22:00:00,74.4,185.0,15.0,29.6,0.0,0.0,0.0,0.0
2016-03-04 23:00:00,74.3,185.0,15.0,29.6,0.0,0.0,0.0,0.0
2016-03-05 00:00:00,74.2,185.0,15.0,29.6,1.4565217391304348,0.0,1.7448181818181814,1.8604166666666675
2016-03-05 01:00:00,74.2,195.0,14.0,28.1,1.7413486842105257,0.0,2.0575,0.0
2016-03-05 02:00:00,74.2,195.0,14.0,28.1,0.0,1.170642201834862,1.3912345679012348,0.0
2016-03-05 03:00:00,74.2,195.0,14.0,28.1,0.0,0.0,0.0,0.0
2016-03-05 04:00:00,74.2,175.0,16.0,26.3,0.0,0.0,0.0,0.0
2016-03-05 05:00:00,74.3,175.0,16.0,26.3,0.0,0.0,0.0,0.0
2016-03-05 06:00:00,74.4,175.0,16.0,26.3,0.0,0.0,0.0,0.0
2016-03-05 07:00:00,74.4,170.0,28.0,26.7,0.0,0.0,0.0,0.0
2016-03-05 08:00:00,74.4,170.0,28.0,26.7,0.0,0.0,0.0,0.0
2016-03-05 09:00:00,74.3,170.0,28.0,26.7,0.0,0.0,0.0,0.0
2016-03-05 10:00:00,74.3,180.0,23.0,32.9,0.0,0.0,0.0,0.0
2016-03-05 11:00:00,74.3,180.0,23.0,32.9,0.0,0.0,0.0,0.0
2016-03-05 12:00:00,74.3,180.0,23.0,32.9,0.0,0.0,0.0,0.0
2016-03-05 13:00:00,74.2,205.0,13.0,35.1,9.533301141352052,5.771433978132878,5.792667231160026,18.787079303675046
2016-03-05 14:00:00,74.2,205.0,13.0,35.1,0.0,0.0,0.0,0.0
2016-03-05 15:00:00,74.2,205.0,13.0,35.1,0.0,0.0,0.0,0.0
2016-03-05 16:00:00,74.2,215.0,10.0,36.0,0.0,0.0,0.0,0.0
2016-03-05 17:00:00,73.3,215.0,10.0,36.0,0.0,0.0,0.0,0.0
2016-03-05 18:00:00,0.0,215.0,10.0,36.0,0.0,0.0,0.0,0.0
2016-03-05 19:00:00,67.0,200.0,11.0,32.6,0.0,0.0,0.0,0.0
2016-03-05 20:00:00,69.7,200.0,11.0,32.6,0.0,0.0,0.0,0.0
2016-03-05 21:00:00,64.4,200.0,11.0,32.6,0.0,0.0,0.0,0.0
2016-03-05 22:00:00,61.5,220.0,11.0,30.5,0.0,0.0,0.0,0.0
2016-03-05 23:00:00,54.7,220.0,11.0,30.5,0.0,0.0,0.0,0.0
2016-03-06 00:00:00,51.5,220.0,11.0,30.5,3.598068669527898,0.0,0.0,1.47375
2016-03-06 01:00:00,52.2,245.0,4.0,28.5,0.0,0.0,0.0,0.0
2016-03-06 02:00:00,53.1,245.0,4.0,28.5,2.3642857142857143,1.008010247651581,1.459933333333333,2.547462686567163
2016-03-06 03:00:00,52.3,245.0,4.0,28.5,0.0,0.0,0.0,0.0
2016-03-06 04:00:00,52.8,175.0,7.0,27.3,0.0,0.0,0.0,0.0
2016-03-06 05:00:00,54.9,175.0,7.0,27.3,0.0,0.0,0.0,0.0
2016-03-06 06:00:00,64.2,175.0,7.0,27.3,0.0,0.0,0.0,0.0
2016-03-06 07:00:00,64.2,165.0,12.0,27.5,0.0,0.0,0.0,0.0
2016-03-06 08:00:00,57.9,165.0,12.0,27.5,0.0,0.0,0.0,0.0
2016-03-06 09:00:00,54.0,165.0,12.0,27.5,0.0,0.0,0.0,0.0
2016-03-06 10:00:00,52.3,175.0,16.0,32.1,0.0,0.0,0.0,0.0
2016-03-06 11:00:00,41.9,175.0,16.0,32.1,0.0,0.0,0.0,0.0
2016-03-06 12:00:00,41.2,175.0,16.0,32.1,0.0,0.0,0.0,0.0
2016-03-06 13:00:00,43.8,170.0,12.0,35.2,8.839342498505683,6.370384785493133,5.535114503816808,9.90803183791606
2016-03-06 14:00:00,41.8,170.0,12.0,35.2,0.0,0.0,0.0,0.0
2016-03-06 15:00:00,45.2,170.0,12.0,35.2,0.0,0.0,0.0,0.0
