,PM2.5,WindDir,Wind Speed(km/h),Temp(C)
2016-03-03 08:00:00,31.2,0.0,0.0,0.0
2016-03-03 09:00:00,31.2,0.0,0.0,0.0
2016-03-03 10:00:00,31.2,85.0,40.0,28.6
2016-03-03 11:00:00,31.2,85.0,40.0,28.6
2016-03-03 12:00:00,24.5,85.0,40.0,28.6
2016-03-03 13:00:00,26.3,90.0,32.0,30.3
2016-03-03 14:00:00,22.9,90.0,32.0,30.3
2016-03-03 15:00:00,22.2,90.0,32.0,30.3
2016-03-03 16:00:00,23.9,95.0,31.0,29.3
2016-03-03 17:00:00,22.5,95.0,31.0,29.3
2016-03-03 18:00:00,0.0,95.0,31.0,29.3
2016-03-03 19:00:00,28.4,85.0,29.0,26.7
2016-03-03 20:00:00,25.7,85.0,29.0,26.7
2016-03-03 21:00:00,25.0,85.0,29.0,26.7
2016-03-03 22:00:00,23.4,105.0,29.0,26.1
2016-03-03 23:00:00,23.0,105.0,29.0,26.1
2016-03-04 00:00:00,23.6,105.0,29.0,26.1
2016-03-04 01:00:00,22.1,85.0,30.0,25.2
2016-03-04 02:00:00,22.2,85.0,30.0,25.2
2016-03-04 03:00:00,23.7,85.0,30.0,25.2
2016-03-04 04:00:00,24.1,90.0,31.0,24.6
2016-03-04 05:00:00,23.9,90.0,31.0,24.6
2016-03-04 06:00:00,24.9,90.0,31.0,24.6
2016-03-04 07:00:00,25.4,95.0,28.0,25.4
2016-03-04 08:00:00,27.0,95.0,28.0,25.4
2016-03-04 09:00:00,23.3,95.0,28.0,25.4
2016-03-04 10:00:00,21.1,95.0,28.0,28.8
2016-03-04 11:00:00,20.6,95.0,28.0,28.8
2016-03-04 12:00:00,22.7,95.0,28.0,28.8
2016-03-04 13:00:00,22.5,100.0,20.0,30.6
2016-03-04 14:00:00,21.3,100.0,20.0,30.6
2016-03-04 15:00:00,17.6,100.0,20.0,30.6
2016-03-04 16:00:00,22.1,110.0,16.0,29.2
2016-03-04 17:00:00,20.6,110.0,16.0,29.2
2016-03-04 18:00:00,24.2,110.0,16.0,29.2
2016-03-04 19:00:00,32.3,100.0,15.0,26.9
2016-03-04 20:00:00,32.3,100.0,15.0,26.9
2016-03-04 21:00:00,32.3,100.0,15.0,26.9
2016-03-04 22:00:00,32.2,100.0,23.0,26.3
2016-03-04 23:00:00,32.1,100.0,23.0,26.3
2016-03-05 00:00:00,32.1,100.0,23.0,26.3
2016-03-05 01:00:00,32.1,100.0,23.0,25.6
2016-03-05 02:00:00,32.1,100.0,23.0,25.6
2016-03-05 03:00:00,32.1,100.0,23.0,25.6
2016-03-05 04:00:00,32.0,100.0,24.0,25.2
2016-03-05 05:00:00,32.1,100.0,24.0,25.2
