,PM2.5,WindDir,Wind Speed(km/h),Temp(C),Cambodia_frp,Myanmar_frp,Thailand_frp,Lao_PDR_frp
2017-11-01 00:00:00,41.81739130434782,75.0,29.0,22.2,0.0,0.0,0.0,0.0
2017-11-01 01:00:00,41.1,75.0,28.0,22.5,0.0,0.0,0.755,0.0
2017-11-01 02:00:00,44.2,75.0,28.0,22.5,0.0,0.0,0.0,0.0
2017-11-01 03:00:00,47.0,75.0,28.0,22.5,0.0,0.0,0.0,0.0
2017-11-01 04:00:00,44.8,65.0,29.0,21.7,0.0,0.0,0.0,0.0
2017-11-01 05:00:00,40.4,65.0,29.0,21.7,0.0,0.0,0.0,0.0
2017-11-01 06:00:00,41.0,65.0,29.0,21.7,0.0,0.0,0.0,0.0
2017-11-01 07:00:00,37.8,60.0,29.0,21.6,0.0,0.0,0.0,0.0
2017-11-01 08:00:00,37.5,60.0,29.0,21.6,0.0,0.0,0.0,0.0
2017-11-01 09:00:00,39.5,60.0,29.0,21.6,0.0,0.0,0.0,0.0
2017-11-01 10:00:00,33.3,60.0,29.0,24.9,0.0,0.0,0.0,0.0
2017-11-01 11:00:00,34.0,60.0,29.0,24.9,0.0,0.0,0.0,0.0
2017-11-01 12:00:00,37.7,60.0,29.0,24.9,0.0,0.0,2.69,6.267142857142858
2017-11-01 13:00:00,40.1,70.0,23.0,28.0,0.0,0.0,0.0,0.0
2017-11-01 14:00:00,46.6,70.0,23.0,28.0,0.0,4.19,9.955,0.0
2017-11-01 15:00:00,48.5,70.0,23.0,28.0,0.0,0.0,0.0,0.0
2017-11-01 16:00:00,49.4,75.0,24.0,27.3,0.0,0.0,0.0,0.0
2017-11-01 17:00:00,46.3,75.0,24.0,27.3,0.0,0.0,0.0,0.0
2017-11-01 18:00:00,43.5,75.0,24.0,27.3,0.0,0.0,0.0,0.0
2017-11-01 19:00:00,40.1,65.0,31.0,23.2,0.0,0.0,0.0,0.0
2017-11-01 20:00:00,41.4,65.0,31.0,23.2,0.0,0.0,0.0,0.0
2017-11-01 21:00:00,42.3,65.0,31.0,23.2,0.0,0.0,0.0,0.0
2017-11-01 22:00:00,40.6,65.0,29.0,22.9,0.0,0.0,0.0,0.0
2017-11-01 23:00:00,44.7,65.0,29.0,22.9,0.0,0.0,0.0,0.0
2017-11-02 00:00:00,42.2,65.0,29.0,22.9,0.0,0.0,0.0,0.0
2017-11-02 01:00:00,43.4,70.0,27.0,21.5,0.0,0.0,1.0,0.89
2017-11-02 02:00:00,47.3,70.0,27.0,21.5,0.0,0.48,0.0,0.0
2017-11-02 03:00:00,43.8,70.0,27.0,21.5,0.0,0.0,0.0,0.0
2017-11-02 04:00:00,40.3,65.0,27.0,20.8,0.0,0.0,0.0,0.0
2017-11-02 05:00:00,29.5,65.0,27.0,20.8,0.0,0.0,0.0,0.0
2017-11-02 06:00:00,28.8,65.0,27.0,20.8,0.0,0.0,0.0,0.0
2017-11-02 07:00:00,26.4,70.0,30.0,21.8,0.0,0.0,0.0,0.0
2017-11-02 08:00:00,24.7,70.0,30.0,21.8,0.0,0.0,0.0,0.0
2017-11-02 09:00:00,25.7,70.0,30.0,21.8,0.0,0.0,0.0,0.0
2017-11-02 10:00:00,23.5,60.0,26.0,27.2,0.0,0.0,0.0,0.0
2017-11-02 11:00:00,19.8,60.0,26.0,27.2,0.0,0.0,0.0,0.0
2017-11-02 12:00:00,28.5,60.0,26.0,27.2,0.0,0.0,0.0,4.99
2017-11-02 13:00:00,32.1,45.0,19.0,30.2,0.0,0.0,0.0,0.0
2017-11-02 14:00:00,33.9,45.0,19.0,30.2,0.0,3.963076923076923,3.8987499999999997,3.313333333333333
2017-11-02 15:00:00,30.6,45.0,19.0,30.2,0.0,0.0,0.0,0.0
2017-11-02 16:00:00,37.6,45.0,20.0,29.7,0.0,0.0,0.0,0.0
2017-11-02 17:00:00,38.8,45.0,20.0,29.7,0.0,0.0,0.0,0.0
2017-11-02 18:00:00,39.7,45.0,20.0,29.7,0.0,0.0,0.0,0.0
2017-11-02 19:00:00,38.2,65.0,27.0,24.5,0.0,0.0,0.0,0.0
2017-11-02 20:00:00,38.5,65.0,27.0,24.5,0.0,0.0,0.0,0.0
2017-11-02 21:00:00,40.5,65.0,27.0,24.5,0.0,0.0,0.0,0.0
2017-11-02 22:00:00,37.5,60.0,30.0,22.8,0.0,0.0,0.0,0.0
2017-11-02 23:00:00,31.6,60.0,30.0,22.8,0.0,0.0,0.0,0.0
2017-11-03 00:00:00,38.5,60.0,30.0,22.8,0.845,0.0,1.5666666666666667,0.6133333333333334
2017-11-03 01:00:00,39.0,60.0,33.0,20.9,0.0,0.0,0.0,0.0
2017-11-03 02:00:00,42.5,60.0,33.0,20.9,0.0,0.0,1.08,0.0
2017-11-03 03:00:00,43.6,60.0,33.0,20.9,0.0,0.0,0.0,0.0
2017-11-03 04:00:00,39.6,65.0,40.0,20.0,0.0,0.0,0.0,0.0
2017-11-03 05:00:00,44.4,65.0,40.0,20.0,0.0,0.0,0.0,0.0
2017-11-03 06:00:00,43.8,65.0,40.0,20.0,0.0,0.0,0.0,0.0
2017-11-03 07:00:00,37.7,60.0,41.0,20.4,0.0,0.0,0.0,0.0
2017-11-03 08:00:00,45.1,60.0,41.0,20.4,0.0,0.0,0.0,0.0
2017-11-03 09:00:00,36.3,60.0,41.0,20.4,0.0,0.0,0.0,0.0
2017-11-03 10:00:00,37.0,60.0,44.0,26.3,0.0,0.0,0.0,0.0
2017-11-03 11:00:00,39.7,60.0,44.0,26.3,0.0,0.0,0.0,0.0
2017-11-03 12:00:00,42.5,60.0,44.0,26.3,0.0,0.0,0.0,0.0
2017-11-03 13:00:00,45.5,55.0,31.0,29.9,6.6587499999999995,2.864594594594593,4.0559259259259255,3.5185714285714282
2017-11-03 14:00:00,53.5,55.0,31.0,29.9,0.0,0.0,0.0,0.0
2017-11-03 15:00:00,56.8,55.0,31.0,29.9,0.0,0.0,0.0,0.0
2017-11-03 16:00:00,43.1,60.0,39.0,29.3,0.0,0.0,0.0,0.0
2017-11-03 17:00:00,44.3,60.0,39.0,29.3,0.0,0.0,0.0,0.0
2017-11-03 18:00:00,41.1,60.0,39.0,29.3,0.0,0.0,0.0,0.0
2017-11-03 19:00:00,38.1,65.0,41.0,23.9,0.0,0.0,0.0,0.0
2017-11-03 20:00:00,37.3,65.0,41.0,23.9,0.0,0.0,0.0,0.0
2017-11-03 21:00:00,38.8,65.0,41.0,23.9,0.0,0.0,0.0,0.0
2017-11-03 22:00:00,42.0,60.0,55.0,22.2,0.0,0.0,0.0,0.0
2017-11-03 23:00:00,44.2,60.0,55.0,22.2,0.0,0.0,0.0,0.0
2017-11-04 00:00:00,44.9,60.0,55.0,22.2,0.0,0.0,0.0,0.0
2017-11-04 01:00:00,44.8,65.0,68.0,20.1,0.0,0.0,0.0,0.0
2017-11-04 02:00:00,44.6,65.0,68.0,20.1,0.0,0.605,1.3764285714285713,0.5
2017-11-04 03:00:00,45.0,65.0,68.0,20.1,0.0,0.0,0.0,0.0
2017-11-04 04:00:00,44.6,60.0,76.0,20.2,0.0,0.0,0.0,0.0
2017-11-04 05:00:00,37.02307692307693,60.0,76.0,20.2,0.0,0.0,0.0,0.0
2017-11-04 06:00:00,37.02307692307693,60.0,76.0,20.2,0.0,0.0,0.0,0.0
2017-11-04 07:00:00,37.02307692307693,65.0,70.0,21.1,0.0,0.0,0.0,0.0
2017-11-04 08:00:00,29.0,65.0,70.0,21.1,0.0,0.0,0.0,0.0
2017-11-04 09:00:00,28.8,65.0,70.0,21.1,0.0,0.0,0.0,0.0
2017-11-04 10:00:00,29.0,60.0,71.0,26.5,0.0,0.0,0.0,0.0
2017-11-04 11:00:00,31.0,60.0,71.0,26.5,0.0,0.0,0.0,0.0
2017-11-04 12:00:00,34.6,60.0,71.0,26.5,0.0,0.0,0.0,0.0
2017-11-04 13:00:00,34.8,45.0,33.0,30.0,2.23,3.242941176470588,3.4874999999999994,9.772499999999999
2017-11-04 14:00:00,35.1,45.0,33.0,30.0,0.0,0.0,0.0,0.0
2017-11-04 15:00:00,35.1,45.0,33.0,30.0,0.0,0.0,0.0,0.0
2017-11-04 16:00:00,37.02307692307693,45.0,44.0,28.2,0.0,0.0,0.0,0.0
2017-11-04 17:00:00,37.02307692307693,45.0,44.0,28.2,0.0,0.0,0.0,0.0
2017-11-04 18:00:00,37.02307692307693,45.0,44.0,28.2,0.0,0.0,0.0,0.0
2017-11-04 19:00:00,37.02307692307693,55.0,62.0,24.9,0.0,0.0,0.0,0.0
2017-11-04 20:00:00,37.02307692307693,55.0,62.0,24.9,0.0,0.0,0.0,0.0
2017-11-04 21:00:00,37.02307692307693,55.0,62.0,24.9,0.0,0.0,0.0,0.0
2017-11-04 22:00:00,37.02307692307693,65.0,74.0,23.6,0.0,0.0,0.0,0.0
2017-11-04 23:00:00,37.02307692307693,65.0,74.0,23.6,0.0,0.0,0.0,0.0
2017-11-05 00:00:00,34.45,65.0,74.0,23.6,0.0,0.0,0.0,0.0
2017-11-05 01:00:00,34.45,70.0,81.0,23.1,0.0,0.31,0.0,0.0
2017-11-05 02:00:00,37.6,70.0,81.0,23.1,0.0,0.87,0.9100000000000001,1.63
2017-11-05 03:00:00,34.8,70.0,81.0,23.1,0.0,0.0,0.0,0.0
2017-11-05 04:00:00,44.3,70.0,82.0,22.4,0.0,0.0,0.0,0.0
2017-11-05 05:00:00,38.6,70.0,82.0,22.4,0.0,0.0,0.0,0.0
2017-11-05 06:00:00,29.6,70.0,82.0,22.4,0.0,0.0,0.0,0.0
2017-11-05 07:00:00,24.5,75.0,81.0,21.0,0.0,0.0,0.0,0.0
2017-11-05 08:00:00,32.2,75.0,81.0,21.0,0.0,0.0,0.0,0.0
2017-11-05 09:00:00,26.1,75.0,81.0,21.0,0.0,0.0,0.0,0.0
2017-11-05 10:00:00,29.5,70.0,84.0,20.0,0.0,0.0,0.0,0.0
2017-11-05 11:00:00,32.0,70.0,84.0,20.0,0.0,0.0,0.0,0.0
2017-11-05 12:00:00,35.2,70.0,84.0,20.0,0.0,0.0,0.0,0.0
2017-11-05 13:00:00,36.7,70.0,78.0,19.6,4.06,3.10375,4.085,7.112500000000001
2017-11-05 14:00:00,38.2,70.0,78.0,19.6,0.0,0.0,0.0,0.0
2017-11-05 15:00:00,40.8,70.0,78.0,19.6,0.0,0.0,0.0,0.0
2017-11-05 16:00:00,35.9,75.0,79.0,19.3,0.0,0.0,0.0,0.0
2017-11-05 17:00:00,38.9,75.0,79.0,19.3,0.0,0.0,0.0,0.0
2017-11-05 18:00:00,35.1,75.0,79.0,19.3,0.0,0.0,0.0,0.0
2017-11-05 19:00:00,32.4,80.0,71.0,19.7,0.0,0.0,0.0,0.0
2017-11-05 20:00:00,30.9,80.0,71.0,19.7,0.0,0.0,0.0,0.0
2017-11-05 21:00:00,35.6,80.0,71.0,19.7,0.0,0.0,0.0,0.0
2017-11-05 22:00:00,38.0,85.0,62.0,19.4,0.0,0.0,0.0,0.0
2017-11-05 23:00:00,31.0,85.0,62.0,19.4,0.0,0.0,0.0,0.0
2017-11-06 00:00:00,31.5,85.0,62.0,19.4,0.0,0.0,0.0,0.0
2017-11-06 01:00:00,34.3,85.0,56.0,19.1,0.71,0.0,2.19,0.0
2017-11-06 02:00:00,28.3,85.0,56.0,19.1,0.0,0.0,0.0,0.0
2017-11-06 03:00:00,32.4,85.0,56.0,19.1,0.0,0.0,0.0,0.0
2017-11-06 04:00:00,39.3,80.0,56.0,18.7,0.0,0.0,0.0,0.0
2017-11-06 05:00:00,33.9,80.0,56.0,18.7,0.0,0.0,0.0,0.0
2017-11-06 06:00:00,32.3,80.0,56.0,18.7,0.0,0.0,0.0,0.0
2017-11-06 07:00:00,31.4,80.0,58.0,19.2,0.0,0.0,0.0,0.0
2017-11-06 08:00:00,27.4,80.0,58.0,19.2,0.0,0.0,0.0,0.0
2017-11-06 09:00:00,29.1,80.0,58.0,19.2,0.0,0.0,0.0,0.0
2017-11-06 10:00:00,31.2,80.0,58.0,23.1,0.0,0.0,0.0,0.0
2017-11-06 11:00:00,32.7,80.0,58.0,23.1,0.0,0.0,0.0,0.0
2017-11-06 12:00:00,27.3,80.0,58.0,23.1,0.0,3.26,0.0,0.0
2017-11-06 13:00:00,35.1,80.0,47.0,26.9,0.0,0.0,0.0,0.0
2017-11-06 14:00:00,37.5,80.0,47.0,26.9,0.0,3.715,0.0,0.0
2017-11-06 15:00:00,41.1,80.0,47.0,26.9,0.0,0.0,0.0,0.0
2017-11-06 16:00:00,40.9,75.0,41.0,27.2,0.0,0.0,0.0,0.0
2017-11-06 17:00:00,39.9,75.0,41.0,27.2,0.0,0.0,0.0,0.0
2017-11-06 18:00:00,39.8,75.0,41.0,27.2,0.0,0.0,0.0,0.0
2017-11-06 19:00:00,39.8,80.0,46.0,23.6,0.0,0.0,0.0,0.0
2017-11-06 20:00:00,33.94761904761904,80.0,46.0,23.6,0.0,0.0,0.0,0.0
2017-11-06 21:00:00,33.94761904761904,80.0,46.0,23.6,0.0,0.0,0.0,0.0
2017-11-06 22:00:00,33.94761904761904,75.0,42.0,22.7,0.0,0.0,0.0,0.0
2017-11-06 23:00:00,27.7,75.0,42.0,22.7,0.0,0.0,0.0,0.0
2017-11-07 00:00:00,26.6,75.0,42.0,22.7,0.0,0.0,0.0,0.0
2017-11-07 01:00:00,27.7,80.0,39.0,20.8,0.0,0.0,0.82,1.475
2017-11-07 02:00:00,36.5,80.0,39.0,20.8,0.0,0.0,0.0,0.0
2017-11-07 03:00:00,31.5,80.0,39.0,20.8,0.0,1.0566666666666666,0.0,0.0
2017-11-07 04:00:00,25.6,70.0,37.0,20.2,0.0,0.0,0.0,0.0
2017-11-07 05:00:00,26.9,70.0,37.0,20.2,0.0,0.0,0.0,0.0
2017-11-07 06:00:00,28.4,70.0,37.0,20.2,0.0,0.0,0.0,0.0
2017-11-07 07:00:00,22.8,70.0,38.0,21.2,0.0,0.0,0.0,0.0
2017-11-07 08:00:00,24.6,70.0,38.0,21.2,0.0,0.0,0.0,0.0
2017-11-07 09:00:00,21.9,70.0,38.0,21.2,0.0,0.0,0.0,0.0
2017-11-07 10:00:00,21.9,70.0,42.0,26.6,0.0,0.0,0.0,0.0
2017-11-07 11:00:00,23.6,70.0,42.0,26.6,0.0,0.0,0.0,0.0
2017-11-07 12:00:00,26.3,70.0,42.0,26.6,0.0,0.0,4.575,0.0
2017-11-07 13:00:00,31.0,65.0,34.0,29.4,0.0,0.0,0.0,0.0
2017-11-07 14:00:00,28.3,65.0,34.0,29.4,0.0,3.730869565217391,4.153333333333333,0.0
2017-11-07 15:00:00,29.3,65.0,34.0,29.4,0.0,0.0,0.0,0.0
2017-11-07 16:00:00,29.1,60.0,35.0,27.6,0.0,0.0,0.0,0.0
2017-11-07 17:00:00,29.0,60.0,35.0,27.6,0.0,0.0,0.0,0.0
2017-11-07 18:00:00,28.8,60.0,35.0,27.6,0.0,0.0,0.0,0.0
2017-11-07 19:00:00,27.35789473684211,60.0,31.0,23.4,0.0,0.0,0.0,0.0
2017-11-07 20:00:00,27.35789473684211,60.0,31.0,23.4,0.0,0.0,0.0,0.0
2017-11-07 21:00:00,27.35789473684211,60.0,31.0,23.4,0.0,0.0,0.0,0.0
2017-11-07 22:00:00,27.35789473684211,65.0,35.0,23.1,0.0,0.0,0.0,0.0
2017-11-07 23:00:00,27.35789473684211,65.0,35.0,23.1,0.0,0.0,0.0,0.0
2017-11-08 00:00:00,24.0,65.0,35.0,23.1,0.0,0.0,0.0,0.0
2017-11-08 01:00:00,26.7,75.0,39.0,23.3,1.545,0.0,0.855,0.0
2017-11-08 02:00:00,27.7,75.0,39.0,23.3,0.0,0.0,0.0,0.0
2017-11-08 03:00:00,26.6,75.0,39.0,23.3,0.0,0.0,0.0,0.0
2017-11-08 04:00:00,26.7,75.0,47.0,22.8,0.0,0.0,0.0,0.0
2017-11-08 05:00:00,26.6,75.0,47.0,22.8,0.0,0.0,0.0,0.0
2017-11-08 06:00:00,26.4,75.0,47.0,22.8,0.0,0.0,0.0,0.0
2017-11-08 07:00:00,25.7,80.0,55.0,22.6,0.0,0.0,0.0,0.0
2017-11-08 08:00:00,11.3,80.0,55.0,22.6,0.0,0.0,0.0,0.0
2017-11-08 09:00:00,12.5,80.0,55.0,22.6,0.0,0.0,0.0,0.0
2017-11-08 10:00:00,13.2,80.0,54.0,24.4,0.0,0.0,0.0,0.0
2017-11-08 11:00:00,13.4,80.0,54.0,24.4,0.0,0.0,0.0,0.0
2017-11-08 12:00:00,13.6,80.0,54.0,24.4,0.0,0.0,0.0,0.0
2017-11-08 13:00:00,14.3,85.0,42.0,27.2,0.0,3.3902499999999995,0.0,0.0
2017-11-08 14:00:00,20.62142857142857,85.0,42.0,27.2,0.0,0.0,0.0,0.0
2017-11-08 15:00:00,20.62142857142857,85.0,42.0,27.2,0.0,0.0,0.0,0.0
2017-11-08 16:00:00,20.62142857142857,90.0,37.0,27.4,0.0,0.0,0.0,0.0
2017-11-08 17:00:00,20.62142857142857,90.0,37.0,27.4,0.0,0.0,0.0,0.0
2017-11-08 18:00:00,20.62142857142857,90.0,37.0,27.4,0.0,0.0,0.0,0.0
2017-11-08 19:00:00,20.62142857142857,85.0,40.0,23.2,0.0,0.0,0.0,0.0
2017-11-08 20:00:00,20.62142857142857,85.0,40.0,23.2,0.0,0.0,0.0,0.0
2017-11-08 21:00:00,20.62142857142857,85.0,40.0,23.2,0.0,0.0,0.0,0.0
2017-11-08 22:00:00,20.62142857142857,85.0,40.0,22.7,0.0,0.0,0.0,0.0
2017-11-08 23:00:00,20.62142857142857,85.0,40.0,22.7,0.0,0.0,0.0,0.0
2017-11-09 00:00:00,17.530434782608697,85.0,40.0,22.7,0.0,0.0,0.0,0.0
2017-11-09 01:00:00,19.3,80.0,46.0,21.9,0.0,0.0,0.0,0.0
2017-11-09 02:00:00,26.1,80.0,46.0,21.9,0.0,0.8133333333333334,0.0,0.0
2017-11-09 03:00:00,25.7,80.0,46.0,21.9,0.0,0.0,0.0,0.0
2017-11-09 04:00:00,18.5,80.0,50.0,21.3,0.0,0.0,0.0,0.0
2017-11-09 05:00:00,18.4,80.0,50.0,21.3,0.0,0.0,0.0,0.0
2017-11-09 06:00:00,18.4,80.0,50.0,21.3,0.0,0.0,0.0,0.0
2017-11-09 07:00:00,17.8,85.0,48.0,22.6,0.0,0.0,0.0,0.0
2017-11-09 08:00:00,16.9,85.0,48.0,22.6,0.0,0.0,0.0,0.0
2017-11-09 09:00:00,9.2,85.0,48.0,22.6,0.0,0.0,0.0,0.0
2017-11-09 10:00:00,10.4,90.0,44.0,28.3,0.0,0.0,0.0,0.0
2017-11-09 11:00:00,12.1,90.0,44.0,28.3,0.0,0.0,0.0,0.0
2017-11-09 12:00:00,12.5,90.0,44.0,28.3,0.0,0.0,0.0,0.0
2017-11-09 13:00:00,18.5,80.0,30.0,30.2,0.0,2.7103999999999995,3.908,9.780000000000001
2017-11-09 14:00:00,20.7,80.0,30.0,30.2,0.0,0.0,0.0,0.0
2017-11-09 15:00:00,26.8,80.0,30.0,30.2,0.0,0.0,0.0,0.0
2017-11-09 16:00:00,23.3,80.0,27.0,30.2,0.0,0.0,0.0,0.0
2017-11-09 17:00:00,18.0,80.0,27.0,30.2,0.0,0.0,0.0,0.0
2017-11-09 18:00:00,17.2,80.0,27.0,30.2,0.0,0.0,0.0,0.0
2017-11-09 19:00:00,18.8,80.0,35.0,25.3,0.0,0.0,0.0,0.0
2017-11-09 20:00:00,13.0,80.0,35.0,25.3,0.0,0.0,0.0,0.0
2017-11-09 21:00:00,14.1,80.0,35.0,25.3,0.0,0.0,0.0,0.0
2017-11-09 22:00:00,13.7,75.0,36.0,24.3,0.0,0.0,0.0,0.0
2017-11-09 23:00:00,13.8,75.0,36.0,24.3,0.0,0.0,0.0,0.0
2017-11-10 00:00:00,11.3,75.0,36.0,24.3,0.0,0.0,0.0,0.0
2017-11-10 01:00:00,9.6,85.0,36.0,23.0,0.0,0.0,0.0,0.0
2017-11-10 02:00:00,17.2,85.0,36.0,23.0,0.0,1.75,1.158,0.0
2017-11-10 03:00:00,23.1,85.0,36.0,23.0,0.0,0.0,0.0,0.0
2017-11-10 04:00:00,14.7,85.0,38.0,22.1,0.0,0.0,0.0,0.0
2017-11-10 05:00:00,13.9,85.0,38.0,22.1,0.0,0.0,0.0,0.0
2017-11-10 06:00:00,10.5,85.0,38.0,22.1,0.0,0.0,0.0,0.0
2017-11-10 07:00:00,11.1,85.0,45.0,23.0,0.0,0.0,0.0,0.0
2017-11-10 08:00:00,11.7,85.0,45.0,23.0,0.0,0.0,0.0,0.0
2017-11-10 09:00:00,11.4,85.0,45.0,23.0,0.0,0.0,0.0,0.0
2017-11-10 10:00:00,15.554545454545456,80.0,43.0,28.9,0.0,0.0,0.0,0.0
2017-11-10 11:00:00,14.3,80.0,43.0,28.9,0.0,0.0,0.0,0.0
2017-11-10 12:00:00,19.9,80.0,43.0,28.9,0.0,0.0,0.0,0.0
2017-11-10 13:00:00,23.2,70.0,29.0,31.6,5.48,4.305,3.920714285714285,6.017499999999999
2017-11-10 14:00:00,15.6,70.0,29.0,31.6,0.0,0.0,0.0,0.0
2017-11-10 15:00:00,16.2,70.0,29.0,31.6,0.0,0.0,0.0,0.0
2017-11-10 16:00:00,21.1,75.0,28.0,29.8,0.0,0.0,0.0,0.0
2017-11-10 17:00:00,19.3,75.0,28.0,29.8,0.0,0.0,0.0,0.0
2017-11-10 18:00:00,22.9,75.0,28.0,29.8,0.0,0.0,0.0,0.0
2017-11-10 19:00:00,14.8,75.0,31.0,27.2,0.0,0.0,0.0,0.0
2017-11-10 20:00:00,14.6,75.0,31.0,27.2,0.0,0.0,0.0,0.0
2017-11-10 21:00:00,15.554545454545456,75.0,31.0,27.2,0.0,0.0,0.0,0.0
2017-11-10 22:00:00,12.7,70.0,28.0,26.0,0.0,0.0,0.0,0.0
2017-11-10 23:00:00,13.1,70.0,28.0,26.0,0.0,0.0,0.0,0.0
2017-11-11 00:00:00,16.1,70.0,28.0,26.0,0.0,0.0,0.0,0.0
2017-11-11 01:00:00,18.2,70.0,31.0,23.5,1.03,1.6033333333333335,1.21,0.5866666666666668
2017-11-11 02:00:00,18.6,70.0,31.0,23.5,0.0,0.0,0.0,0.0
2017-11-11 03:00:00,22.3,70.0,31.0,23.5,0.0,0.0,0.0,0.0
2017-11-11 04:00:00,21.8,75.0,35.0,22.5,0.0,0.0,0.0,0.0
2017-11-11 05:00:00,18.0,75.0,35.0,22.5,0.0,0.0,0.0,0.0
2017-11-11 06:00:00,12.8,75.0,35.0,22.5,0.0,0.0,0.0,0.0
2017-11-11 07:00:00,11.7,90.0,39.0,23.3,0.0,0.0,0.0,0.0
2017-11-11 08:00:00,14.0,90.0,39.0,23.3,0.0,0.0,0.0,0.0
